Grantee Name,Discipline,Location,Year
Adrienne Westwood Projects,Interdisciplinary,Park Slope,2023
Aeilushi Mistry,Cultural Heritage,Brooklyn Heights,2023
Al Límite Collective,Performing Arts,Bushwick,2023
Alex Colon-Olaniyan,Music,Crown Heights,2023
Alicia Foxworth,Theater,Bedford-Stuyvesant,2023
Alisha Desai,Dance,Bushwick,2023
Alma Moyo,Performing Arts,Crown Heights,2023
Angeli Rasbury,Literary Arts,Bedford-Stuyvesant,2023
Anh Vo,Dance,Downtown Brooklyn,2023
APAC,Performing Arts,Brownsville,2023
Arantxa Araujo in collaboration with Sara Kostic,Multidisciplinary,Red Hook,2023
Arno Mokros,Film/Video,Greenpoint,2023
Art and Resistance Through Education (ARTE),Visual Arts,Downtown Brooklyn,2023
ART YARD BKLYN,Visual Arts,Red Hook,2023
Arts Gowanus,Multidisciplinary,Gowanus,2023
Artshack Brooklyn,Visual Arts,Bedford-Stuyvesant,2023
ASMP NY & BKC,Visual Arts,Bushwick,2023
Beareather Reddy,Cultural Heritage,Bedford-Stuyvesant,2023
Belinda McGuire,Dance,Crown Heights,2023
Benjamin Akio Kimitch,Dance,Williamsburg,2023
Black Revolutionary Theatre Workshop,Theater,Clinton Hill,2023
Brackish - music & art,Music,Gowanus,2023
Brighton Ballet Theater Co,Dance,Brighton Beach,2023
Broken Box Mime Theater,Interdisciplinary,Prospect Lefferts Gardens,2023
Brooklyn Accordion Club,Music,Prospect Heights,2023
Brooklyn FAM,Multidisciplinary,Prospect Lefferts Gardens,2023
Brooklyn Raga Massive,Performing Arts,Red Hook,2023
Brooklyn Youth Company,Multidisciplinary,Flatbush,2023
Brydie O'Connor,Film/Video,Prospect Lefferts Gardens,2023
Bundith Phunsombatlert,Interdisciplinary,Prospect Heights,2023
Carolyn Butts-Schmalenberger,Film/Video,Downtown Brooklyn,2023
Carrie Ahern Dance,Dance,Kensington,2023
Carter Van Pelt,Music,Coney Island,2023
ChamberQUEER,Music,Gowanus,2023
Charlotte Juergens,Film/Video,Park Slope,2023
Charukantha,Cultural Heritage,Kensington,2023
Cheryl Thomas,Cultural Heritage,Bedford-Stuyvesant,2023
Chief Baba Neil Clarke,Performing Arts,Brownsville,2023
Circus Amok,Performing Arts,Williamsburg,2023
City of Abolished Prisons,Interdisciplinary,Crown Heights,2023
Connection Works,Music,Gowanus,2023
Continuum Culture & Arts,Music,,2023
Curatorial Program for Research,Visual Arts,Williamsburg,2023
Dancers Unlimited,Multidisciplinary,Downtown Brooklyn,2023
Dancing Crane Georgian Cultural Center,Performing Arts,Gravesend,2023
Darkness RISING Project,Music,Bedford-Stuyvesant,2023
Darryl Harrison | Urban Jali,Performing Arts,Crown Heights,2023
Data Through Design,Multidisciplinary,Greenpoint,2023
Death by Audio Arcade,Multidisciplinary,Bedford-Stuyvesant,2023
Dianę Jacobowitz,Multidisciplinary,Park Slope,2023
Dina Vovsi,Theater,Greenpoint,2023
Dishman + Co. Choreography,Dance,Greenpoint,2023
eGALitarian Brass,Music,Cobble Hill,2023
Ensemble Decipher,Music,Downtown Brooklyn,2023
exquisites,Literary Arts,Bedford-Stuyvesant,2023
Fei Li (Accented Projects),Multidisciplinary,Bedford-Stuyvesant,2023
Flex Dance Program,Dance,Crown Heights,2023
Fulton Art Fair,Visual Arts,Bedford-Stuyvesant,2023
Glenda Sol Koeraus | Flamenco y Sol,Dance,Sunset Park,2023
"Goof, Gather, and Grow",Multidisciplinary,Greenpoint,2023
Grace Chorale of Brooklyn,Music,Fort Greene,2023
Grandparentes StoryLab,Interdisciplinary,Williamsburg,2023
Grumpy Bert,Visual Arts,Greenpoint,2023
Gung Ho Projects,Theater,Sunset Park,2023
HaRaKa Platform | New York Arab Festival,Performing Arts,Clinton Hill,2023
Hedgepig Ensemble Theatre,Theater,Fort Greene,2023
Hima B.,Film/Video,Crown Heights,2023
Irene Koloseus | Sound Bridges,Music,Midwood,2023
Itziar Barrio,Visual Arts,DUMBO,2023
Iviva Olenick,Visual Arts,Park Slope,2023
Iviva Olenick | ART YARD BKLYN,Visual Arts,Red Hook,2023
J. Bouey Dance Projects,Dance,Brownsville,2023
Jamie Courville & Chris Reynolds,Film/Video,Gowanus,2023
Jan Bell,Music,DUMBO,2023
Jan Mun,Interdisciplinary,Greenpoint,2023
Jasmine Espinal,Performing Arts,Sunset Park,2023
Jazz Passengers Music Projects,Music,Ditmas Park,2023
Jennifer Wade,Visual Arts,Coney Island,2023
Jesse Barnes,Music,Crown Heights,2023
Jihene E. Serkhane,Performing Arts,Bay Ridge,2023
JP Howard,Literary Arts,Downtown Brooklyn,2023
Kiire Wellness,Performing Arts,Bedford-Stuyvesant,2023
Kraft Kulcha at Make Manifest Bk,Multidisciplinary,Bedford-Stuyvesant,2023
Kyoung's Pacific Beat,Theater,Flatbush,2023
L Train Brass Band,Music,Sunset Park,2023
La Kaje,Interdisciplinary,Gowanus,2023
La Nuestra Tango,Interdisciplinary,Fort Greene,2023
La Troupe Makandal,Cultural Heritage,Flatbush,2023
Lampblack,Literary Arts,Fort Greene,2023
Laura Elkeslassy,Interdisciplinary,Bushwick,2023
Laura Peterson,Interdisciplinary,DUMBO,2023
Lindsey Hope Pearlman | Bread Arts Collective,Theater,Williamsburg,2023
Lourdes Bernard,Visual Arts,Crown Heights,2023
Luna Park Band,Multidisciplinary,Coney Island,2023
Maaa Film,Film/Video,Crown Heights,2023
Marina Zurita,Theater,Clinton Hill,2023
McKoy Dance Project || MDP,Dance,Crown Heights,2023
Megumi Saruhashi,Music,Bay Ridge,2023
Melinda Gonzalez,Dance,East New York,2023
Melvin Isaac,Visual Arts,Brownsville,2023
Mil's Trills,Music,Prospect Lefferts Gardens,2023
Ming Liang Lu,Visual Arts,Bensonhurst,2023
Mookntaka,Visual Arts,Carroll Gardens,2023
N.S.P. Youth,Multidisciplinary,Bedford-Stuyvesant,2023
Nancy Siesel,Film/Video,Borough Park,2023
National Queer Theater,Performing Arts,Fort Greene,2023
Nekaa Lab | Sachiyo Takahashi,Theater,Crown Heights,2023
Noa Fort,Music,Midwood,2023
NYC Radio Live,Music,Red Hook,2023
NYC Ska Orchestra,Music,Prospect Heights,2023
Nzingah Oyo,Visual Arts,Bedford-Stuyvesant,2023
Octavia Project,Multidisciplinary,Clinton Hill,2023
Ogemdi Ude,Interdisciplinary,DUMBO,2023
Olaronke Akinmowo,Literary Arts,Bedford-Stuyvesant,2023
One Breath Rising,Interdisciplinary,Prospect Heights,2023
One Whale's Tale,Interdisciplinary,Bushwick,2023
Operation Gig,Music,Ditmas Park,2023
Parachute Literary Arts,Literary Arts,Coney Island,2023
Perennial Muse,Music,Fort Greene,2023
Persephone DaCosta,Performing Arts,Brownsville,2023
Phil Andrews,Music,Bedford-Stuyvesant,2023
PLG Arts,Interdisciplinary,Prospect Lefferts Gardens,2023
Project.KB | Kristina Bermudez,Dance,Brownsville,2023
QT Art Camp,Performing Arts,Bedford-Stuyvesant,2023
Rachel Lin,Theater,Sunset Park,2023
Rachel Sullivan,Theater,Prospect Heights,2023
Raphael McGregor,Music,Red Hook,2023
Ray Jordan Achan,Theater,Brownsville,2023
Razid Season,Film/Video,Crown Heights,2023
Remix ⟷ Culture,Music,Bay Ridge,2023
Renee Smith,Cultural Heritage,East New York,2023
Renegade Performance Group,Dance,Flatbush,2023
Ricardo St. Louis,Music,Bedford-Stuyvesant,2023
Riven Collective,Performing Arts,Clinton Hill,2023
Rohan Bhargava | Rovaco Dance Company,Dance,Williamsburg,2023
Rooted Theater Company,Performing Arts,East New York,2023
Rusty Zimmerman,Visual Arts,Sunset Park,2023
Sabina Sethi Unni & Nikolas Michael,Theater,Gowanus,2023
Sabrina Chap,Music,Coney Island,2023
Salute to Youth Project of the Brooklyn Chapter of the Links,Film/Video,Bedford-Stuyvesant,2023
Sarah Finn,Film/Video,Williamsburg,2023
Saving Our Babies,Interdisciplinary,Bushwick,2023
Sisters With Purpose,Music,East New York,2023
Something Positive Inc.,Performing Arts,Flatbush,2023
Sophia Ma & Cecile Chong,Visual Arts,Bushwick,2023
Spiritchild of Urban Art Beat | Maroon Party for Liberation,Interdisciplinary,Williamsburg,2023
Stand4 Gallery,Interdisciplinary,Bay Ridge,2023
Steph Costello,Visual Arts,Fort Greene,2023
Steps Theatre & Production Company,Theater,Sheepshead Bay,2023
Stoop Stories,Film/Video,Crown Heights,2023
STooPS,Interdisciplinary,Bedford-Stuyvesant,2023
Summertime Gallery | Priscilla Frank,Performing Arts,Williamsburg,2023
Sunset Park Artists Collective,Visual Arts,Sunset Park,2023
Swamp in the City,Music,Red Hook,2023
Tables of Contents,Literary Arts,Sunset Park,2023
TalentLand Children's Acting Studio,Theater,Sheepshead Bay,2023
Tami Kashia Gold,Film/Video,Flatbush,2023
Tansy Xiao,Interdisciplinary,Sunset Park,2023
Tea Arts & Culture,Multidisciplinary,Park Slope,2023
The Exponential Festival,Theater,Williamsburg,2023
The Immigrant Artist Biennial,Visual Arts,Sunset Park,2023
The Neurodivergent New Play Series,Theater,Williamsburg,2023
The New Consort,Music,Prospect Heights,2023
The Opera Next Door,Theater,Bedford-Stuyvesant,2023
The Parsnip Ship,Theater,Boerum Hill,2023
Tomato Mouse,Visual Arts,Weeksville,2023
TWW Inc,Performing Arts,Bedford-Stuyvesant,2023
Ty Citerman,Music,Flatbush,2023
Unheard-of Ensemble,Multidisciplinary,Gowanus,2023
United Community Centers,Multidisciplinary,East New York,2023
Urbano Street,Music,Bushwick,2023
Viktoriya Basina,Visual Arts,Flatbush,2023
Vong Pak,Dance,Park Slope,2023
Walis Johnson,Interdisciplinary,Brownsville,2023
What Will the Neighbors Say?,Theater,Bushwick,2023
Womanly Magazine,Multidisciplinary,Crown Heights,2023
Worry Noise Dirt Heat,Theater,Crown Heights,2023
Xinan Helen Ran,Interdisciplinary,Sunset Park,2023
Yaa Samar! Dance Theatre,Performing Arts,Bay Ridge,2023
Yasmin Mistry,Film/Video,Gowanus,2023
Zachary Finkelstein,Film/Video,Marine Park,2023
Zachary Schulman,Visual Arts,Crown Heights,2023
¡Oye! Group,Multidisciplinary,Bushwick,2023
256 Healing Center | Chief Awosanmi Sekou Alaje,Multidisciplinary,Flatbush,2022
Aaron Asis,Film/Video,Brooklyn Heights,2022
"Act Now Foundation, Inc.",Film/Video,Brooklyn Heights,2022
Adia Tamar Whitaker,Performing Arts,,2022
Aeilushi Mistry,Dance,,2022
African Peach Arts Coalition (APAC),Literary Arts,Bushwick,2022
Afrolatin@ Project,Performing Arts,,2022
Alicia Foxworth,Theater,Williamsburg,2022
Amanda Gookin,Music,Downtown Brooklyn,2022
Andrew Drury,Music,,2022
Angeli Rasbury,Literary Arts,Bedford-Stuyvesant,2022
Art and Resistance Through Education (ARTE),Visual Arts,Williamsburg,2022
ArtHubNYC,Visual Arts,,2022
Arts & Democracy,Performing Arts,,2022
Arts Gowanus,Multidisciplinary,Gowanus,2022
Asia Stewart,Interdisciplinary,Red Hook,2022
Bailey's Cafe,Multidisciplinary,,2022
Batingua Arts | Persephone DaCosta,Dance,Brownsville,2022
Beareather Reddy,Folk Arts,Bedford-Stuyvesant,2022
Belinda McGuire,Dance,Fort Greene,2022
Benjamin Akio Kimitch,Dance,Boerum Hill,2022
Beryl Briane Ford,,Bedford-Stuyvesant,2022
Black Girls Sew,Visual Arts,Bedford-Stuyvesant,2022
Black Revolutionary Theatre Workshop,Theater,Bedford-Stuyvesant,2022
Blaze Ferrer,Dance,Williamsburg,2022
Brackish - Music & Art,Music,Gowanus,2022
Brianna Kalisch,Multidisciplinary,Fort Greene,2022
Brooke Singer,Interdisciplinary,Williamsburg,2022
Brooklyn Accordion Club,Music,,2022
Brooklyn Arts Exchange,Interdisciplinary,,2022
Brooklyn Raga Massive,Performing Arts,Prospect Heights,2022
Brooklyn Youth Company,Multidisciplinary,Flatbush,2022
Bryce Peterson & Norte Maar,Multidisciplinary,Highland Park,2022
Brydie O'Connor,Film/Video,Prospect Lefferts Gardens,2022
Bundith Phunsombatlert,Visual Arts,Prospect Heights,2022
Cady Finlayson,Music,Sunset Park,2022
Carolyn A. Butts-Schmalenberger,Film/Video,,2022
CART Collective-Ganja War Veterans for Equity,Performing Arts,Canarsie,2022
Center for Art Law,Multidisciplinary,,2022
ChamberQUEER,Music,Williamsburg,2022
Charlotte Juergens,Film/Video,Park Slope,2022
Charukantha,Folk Arts,Kensington,2022
Cheryl Thomas,Folk Arts,Bedford-Stuyvesant,2022
Chief Baba Neil Clarke,Performing Arts,Bedford-Stuyvesant,2022
Chief Baba Neil Clarke | Weeksville Heritage Center,Interdisciplinary,Bedford-Stuyvesant,2022
Christina Massey,Visual Arts,,2022
Cindy Similien,Literary Arts,Crown Heights,2022
City Living NY,Film/Video,,2022
Colin Harte & Sameer Gupta,Music,Park Slope,2022
Coney Island Reggae On The Boardwalk,Music,Coney Island,2022
Connection Works,Music,Gowanus,2022
Continuum Culture & Arts,Music,,2022
CreateART,Multidisciplinary,,2022
Crown Heights Film Festival,Film/Video,Crown Heights,2022
Curatorial Program for Research,Visual Arts,,2022
Current Showcase,Interdisciplinary,DUMBO,2022
Cynthia Tobar & Nathaniel LaNasa,Interdisciplinary,Fort Greene,2022
Dancers Unlimited,Dance,,2022
Dancing Crane Georgian Cultural Center,Performing Arts,Mapleton,2022
Daniela Holban,Visual Arts,Greenpoint,2022
Darkness RISING Project,Music,Bedford-Stuyvesant,2022
Darrel Alejandro Holnes,Theater,Crown Heights,2022
David Goren,Interdisciplinary,Flatbush,2022
Death by Audio Arcade,Interdisciplinary,Bedford-Stuyvesant,2022
Dianę Jacobowitz,Visual Arts,Park Slope,2022
"Dither, Inc.",Music,Gowanus,2022
Ellpetha Tsivicos & Camilo Quiroz-Vázquez,Theater,Bushwick,2022
Et Alia Theater,Theater,Williamsburg,2022
Falconworks Theater Company,Performing Arts,Red Hook,2022
Flourishing Projects | Emilie Gay,Theater,Downtown Brooklyn,2022
Friends of Bright Minds Community Prep,Visual Arts,,2022
Friends of Bushwick Inlet Park,Music,Bushwick,2022
Gary Glazner,Literary Arts,,2022
Glenda Sol Koeraus,Folk Arts,Flatbush,2022
Gowanus Canal Dredgers Canoe Club,Music,Gowanus,2022
Gung Ho Projects,Theater,Sunset Park,2022
Heather María Ács,Film/Video,Fort Greene,2022
Hedgepig Ensemble Theatre,Theater,,2022
Hivewild,Dance,,2022
Hoi Polloi,Theater,Clinton Hill,2022
Hong Wu,Interdisciplinary,,2022
Hook & Eye Theater,Theater,Downtown Brooklyn,2022
Ibi Ibrahim,Multidisciplinary,,2022
Irene Koloseus | Sound Bridges | Circuit Productions,Dance,Brownsville,2022
Ivan Talijancic,Multidisciplinary,DUMBO,2022
Iviva Olenick,Visual Arts,,2022
Jaime Sunwoo | Free Rein Projects,Multidisciplinary,Sunset Park,2022
Jan Bell,Music,DUMBO,2022
Jean Rohe,Music,Prospect Lefferts Gardens,2022
Jennifer Wade,Visual Arts,Coney Island,2022
Jess Barbagallo,Theater,Williamsburg,2022
Jihene E. Serkhane,Folk Arts,Bay Ridge,2022
Jordan Dykstra,Multidisciplinary,,2022
Joy Le Li,Film/Video,Sunset Park,2022
JP Howard,Literary Arts,Downtown Brooklyn,2022
Juana Luna,Music,,2022
Karen Marks,Film/Video,,2022
Katya Grokhovsky,Visual Arts,Downtown Brooklyn,2022
Kelly Ashton Todd,Dance,Crown Heights,2022
KERNEL,Dance,Prospect Lefferts Gardens,2022
Kevin Augustine's Lone Wolf Tribe,Multidisciplinary,Fort Greene,2022
Kevin Ray | WORKS,Theater,Greenpoint,2022
Kiire Wellness,Performing Arts,Bedford-Stuyvesant,2022
Kizuna Dance,Dance,Fort Greene,2022
Korina Emmerich,Multidisciplinary,,2022
Kwame Brandt-Pierce,Multidisciplinary,Crown Heights,2022
Kyoung's Pacific Beat,Theater,Flatbush,2022
L Train Brass Band,Music,Bushwick,2022
La Troupe Makandal,Music,Flatbush,2022
Leo Chang,Music,Greenpoint,2022
Loading Dock Theatre,Theater,,2022
Loki Circus Theater,Multidisciplinary,Bushwick,2022
Lourdes Bernard,Visual Arts,Crown Heights,2022
Luna X Moya,Film/Video,Bay Ridge,2022
Maaa Theater,Theater,Crown Heights,2022
Marcia Wilson,Visual Arts,,2022
MBDance,Dance,Park Slope,2022
McKoy Dance Project (MDP),Dance,Fort Greene,2022
Megumi Saruhashi,Music,East New York,2022
Melinda Gonzalez,Folk Arts,Williamsburg,2022
Melvin Isaac,Visual Arts,,2022
Mil's Trills,Music,Prospect Lefferts Gardens,2022
NACHMO,Dance,,2022
Nancy Siesel,Film/Video,East New York,2022
Nari Kye | Woori Show,Multidisciplinary,,2022
National Queer Theater,Theater,Prospect Heights,2022
New York Music Cooperative,Music,,2022
Nikki Lindt,Multidisciplinary,Prospect Park South,2022
Noa Fort,Music,Flatbush,2022
NOoSPHERE Arts,Multidisciplinary,Greenpoint,2022
North Brooklyn Parks Alliance,Music,,2022
NYC Radio Live,Music,Red Hook,2022
Nzingah Oyo,Visual Arts,Bedford-Stuyvesant,2022
Octavia Project,Multidisciplinary,Clinton Hill,2022
Ogemdi Ude,Dance,Williamsburg,2022
One Breath Rising,Multidisciplinary,Prospect Heights,2022
Parachute Literary Arts,Literary Arts,Coney Island,2022
Park Slope Center for Successful Aging,Visual Arts,Park Slope,2022
Pitkin Avenue Business Improvement District,Visual Arts,Brownsville,2022
POWRPLNT,Interdisciplinary,Bushwick,2022
Psychic Wormhole | Stacy Lynn Smith & Alex Romania,Dance,,2022
QT Art Camp,Music,Crown Heights,2022
Rachel Garber Cole,Interdisciplinary,,2022
Rachel Johnson,Film/Video,,2022
Rachel Sullivan | Grand Pistachio,Music,Prospect Heights,2022
Raphael McGregor,Music,Red Hook,2022
Ray Jordan Achan,Performing Arts,Greenpoint,2022
Redhawk Native American Arts Council,Performing Arts,Sunset Park,2022
Reggae Under The Bridge,Music,Coney Island,2022
Renee K. Smith,Folk Arts,Flatbush,2022
Robert O. Duncan,Music,Williamsburg,2022
Rohan Bhargava | Rovaco Dance Company,Dance,Greenpoint,2022
Rooted Theater Company,Performing Arts,East New York,2022
Salomé Egas,Multidisciplinary,Williamsburg,2022
Sari Nordman,Interdisciplinary,,2022
Siji Awoyinka,Film/Video,East New York,2022
Sista Zaraya / Watoto Entertainment,Performing Arts,,2022
Something Positive Inc.,Dance,Fort Greene,2022
STooPS,Multidisciplinary,Bedford-Stuyvesant,2022
Str8OuttaBklyn Media,Performing Arts,Bedford-Stuyvesant,2022
Summertime Gallery,Multidisciplinary,Williamsburg,2022
Superhero Clubhouse,Performing Arts,,2022
Tea Arts & Culture,Multidisciplinary,Park Slope,2022
The Brooklyn Nomads,Music,,2022
The Exponential Festival,Theater,,2022
The Free Black Women's Library,Interdisciplinary,Bedford-Stuyvesant,2022
The Poetry Society of New York,Multidisciplinary,Williamsburg,2022
Theater In Asylum,Multidisciplinary,Red Hook,2022
Trina Basu Ramamurthy,Music,Downtown Brooklyn,2022
Unheard-of Ensemble,Music,Gowanus,2022
United Community Centers,Multidisciplinary,East New York,2022
Up Until Now Collective,Multidisciplinary,Bushwick,2022
Vassa Vasileva | Essence Theatre Studio,Theater,,2022
Victoria-Idongesit Udondian,Visual Arts,DUMBO,2022
Vong Pak,Dance,,2022
Weeksville Heritage Center,Interdisciplinary,,2022
What Will the Neighbors Say?,Theater,,2022
Womxn's Tango Collective,Interdisciplinary,Fort Greene,2022
Wuyi Jacobs,Multidisciplinary,,2022
Yaa Samar! Dance Theatre,Dance,,2022
Yasmin Mistry,Film/Video,,2022
Zaneta,Interdisciplinary,Williamsburg,2022
Zoe Rabinowitz & Galen Bremer,Multidisciplinary,Greenpoint,2022
Zulu Padilla,Visual Arts,Prospect Lefferts Gardens,2022
¡Oye! Group,Performing Arts,Bushwick,2022